,character,count_rank,metrics_rank
0,alicia,3,6
1,bellamie,6,8
2,bellamy_sr,12,9
3,careless,1,2
4,closet,11,11
5,crostill,9,7
6,fitzgerrard,14,12
7,lady,2,1
8,lovely,6,3
9,page,17,14
10,phebe,12,10
11,prentice,15,12
12,saleware,3,4
13,saveall,8,7
14,servant,16,14
15,thrivewell,8,4
16,wat,6,6
